serie;funcion;tiempo;serie;;;;serie;funcion;tiempo O;tiempoOpt;;;;;;;;;;;;;;
T386_20150207_2302_2341;mapMatch;00:05,0;T386_20150207_2302_2341 mapMatch;16;T386_20150207_2302_2341 mapMatch16;;T386_20150212_1389_1466;mapMatch;00:01,4;00:04,8;344%;;;;;;;;;;;;;
T386_20150207_2793_2819;mapMatch;00:05,3;T386_20150207_2793_2819 mapMatch;16;T386_20150207_2793_2819 mapMatch16;;T386_20150212_1389_1466;mapMatch;00:01,4;00:04,8;341%;;;;;;;;;;;;;
T386_20150212_1389_1466;mapMatch;00:04,7;T386_20150212_1389_1466 mapMatch;16;T386_20150212_1389_1466 mapMatch16;;T386_20150212_1389_1466;mapMatch;00:19,4;00:15,8;82%;;;;;;;;;;;;;
T386_20150212_1712_1767;mapMatch;00:21,5;T386_20150212_1712_1767 mapMatch;16;T386_20150212_1712_1767 mapMatch16;;T386_20150212_1389_1466;mapMatch;00:00,5;00:00,6;108%;;;;;;;;;;;;;
T386_20150212_2640_2693;mapMatch;00:05,8;T386_20150212_2640_2693 mapMatch;16;T386_20150212_2640_2693 mapMatch16;;T386_20150212_1389_1466;mapMatch;00:30,5;00:28,8;95%;;;;;;;;;;;;;
T916_20150207_2161_2181;mapMatch;00:05,1;T916_20150207_2161_2181 mapMatch;16;T916_20150207_2161_2181 mapMatch16;;T386_20150212_1389_1466;mapMatch;00:01,0;00:18,4;1767%;;;;;;;;;;;;;
T916_20150208_2161_2196;mapMatch;00:04,8;T916_20150208_2161_2196 mapMatch;16;T916_20150208_2161_2196 mapMatch16;;T386_20150212_1389_1466;mapMatch;00:00,5;00:01,2;232%;;;;;;;;;;;;;
T916_20150208_2241_2271;mapMatch;00:05,2;T916_20150208_2241_2271 mapMatch;16;T916_20150208_2241_2271 mapMatch16;;T386_20150212_1389_1466;mapMatch;00:02,5;00:00,6;24%;;;;;;;;;;;;;
T386_20150207_2302_2341;mapMatch;00:04,9;T386_20150207_2302_2341 mapMatch;17;T386_20150207_2302_2341 mapMatch17;;T386_20150212_1389_1466;mapMatch;00:01,4;00:04,6;327%;;;;;;;;;;;;;
T386_20150207_2793_2819;mapMatch;00:17,0;T386_20150207_2793_2819 mapMatch;17;T386_20150207_2793_2819 mapMatch17;;T386_20150212_1389_1466;mapMatch;00:01,4;00:04,7;333%;;;;;;;;;;;;;
T386_20150212_1389_1466;mapMatch;00:04,9;T386_20150212_1389_1466 mapMatch;17;T386_20150212_1389_1466 mapMatch17;;T386_20150212_1389_1466;mapMatch;00:01,4;00:04,9;344%;;;;;;;;;;;;;
T386_20150212_1712_1767;mapMatch;00:14,1;T386_20150212_1712_1767 mapMatch;17;T386_20150212_1712_1767 mapMatch17;;T386_20150212_1389_1466;mapMatch;00:01,4;00:04,6;324%;;;;;;;;;;;;;
T386_20150212_2640_2693;mapMatch;00:05,6;T386_20150212_2640_2693 mapMatch;17;T386_20150212_2640_2693 mapMatch17;;T386_20150212_1389_1466;mapMatch;00:01,4;00:05,3;378%;;;;;;;;;;;;;
T916_20150207_2161_2181;mapMatch;00:07,4;T916_20150207_2161_2181 mapMatch;17;T916_20150207_2161_2181 mapMatch17;;T386_20150212_1389_1466;mapMatch;00:01,4;00:04,9;337%;;;;;;;;;;;;;
T916_20150208_2161_2196;mapMatch;00:04,8;T916_20150208_2161_2196 mapMatch;17;T916_20150208_2161_2196 mapMatch17;;T386_20150212_1389_1466;mapMatch;00:01,4;00:05,1;364%;;;;;;;;;;;;;
T916_20150208_2241_2271;mapMatch;00:05,4;T916_20150208_2241_2271 mapMatch;17;T916_20150208_2241_2271 mapMatch17;;T386_20150212_1389_1466;mapMatch;00:01,4;00:05,2;365%;;;;;;;;;;;;;
T386_20150207_2302_2341;mapMatch;00:04,7;T386_20150207_2302_2341 mapMatch;18;T386_20150207_2302_2341 mapMatch18;;T386_20150212_1389_1466;mapMatch;00:09,7;00:13,0;134%;;;;;;;;;;;;;
T386_20150207_2793_2819;mapMatch;00:08,8;T386_20150207_2793_2819 mapMatch;18;T386_20150207_2793_2819 mapMatch18;;T386_20150212_1389_1466;mapMatch;00:01,0;00:10,8;1036%;;;;;;;;;;;;;
T386_20150212_1389_1466;mapMatch;00:04,9;T386_20150212_1389_1466 mapMatch;18;T386_20150212_1389_1466 mapMatch18;;T386_20150212_1389_1466;mapMatch;00:01,4;00:00,6;43%;;;;;;;;;;;;;
T386_20150212_1712_1767;mapMatch;00:18,9;T386_20150212_1712_1767 mapMatch;18;T386_20150212_1712_1767 mapMatch18;;T386_20150212_1389_1466;mapMatch;00:01,4;00:05,5;389%;;;;;;;;;;;;;
T386_20150212_2640_2693;mapMatch;00:15,6;T386_20150212_2640_2693 mapMatch;18;T386_20150212_2640_2693 mapMatch18;;T386_20150212_1389_1466;mapMatch;00:01,4;00:05,5;392%;;;;;;;;;;;;;
T916_20150207_2161_2181;mapMatch;00:13,6;T916_20150207_2161_2181 mapMatch;18;T916_20150207_2161_2181 mapMatch18;;T386_20150212_1389_1466;mapMatch;00:01,4;00:05,5;391%;;;;;;;;;;;;;
T916_20150208_2161_2196;mapMatch;00:04,6;T916_20150208_2161_2196 mapMatch;18;T916_20150208_2161_2196 mapMatch18;;T386_20150212_1712_1767;mapMatch;00:01,4;00:05,9;412%;;;;;;;;;;;;;
T916_20150208_2241_2271;mapMatch;00:07,9;T916_20150208_2241_2271 mapMatch;18;T916_20150208_2241_2271 mapMatch18;;T386_20150212_1712_1767;mapMatch;00:05,0;00:13,4;270%;;;;;;;;;;;;;
T386_20150207_2302_2341;mapMatch;00:06,7;T386_20150207_2302_2341 mapMatch;19;T386_20150207_2302_2341 mapMatch19;;T386_20150212_1712_1767;mapMatch;00:00,6;00:00,6;112%;;;;;;;;;;;;;
T386_20150207_2793_2819;mapMatch;00:00,6;T386_20150207_2793_2819 mapMatch;19;T386_20150207_2793_2819 mapMatch19;;T386_20150212_1712_1767;mapMatch;00:05,0;00:06,7;135%;;;;;;;;;;;;;
T386_20150212_1389_1466;mapMatch;00:04,7;T386_20150212_1389_1466 mapMatch;19;T386_20150212_1389_1466 mapMatch19;;T386_20150212_1712_1767;mapMatch;00:01,5;00:05,0;328%;;;;;;;;;;;;;
T386_20150212_1712_1767;mapMatch;00:00,6;T386_20150212_1712_1767 mapMatch;19;T386_20150212_1712_1767 mapMatch19;;T386_20150212_1712_1767;mapMatch;00:03,1;00:06,3;203%;;;;;;;;;;;;;
T386_20150212_2640_2693;mapMatch;00:00,9;T386_20150212_2640_2693 mapMatch;19;T386_20150212_2640_2693 mapMatch19;;T386_20150212_1712_1767;mapMatch;00:10,8;00:14,6;135%;;;;;;;;;;;;;
T916_20150207_2161_2181;mapMatch;00:00,6;T916_20150207_2161_2181 mapMatch;19;T916_20150207_2161_2181 mapMatch19;;T386_20150212_1712_1767;mapMatch;00:09,3;00:03,5;37%;;;;;;;;;;;;;
T916_20150208_2161_2196;mapMatch;00:07,8;T916_20150208_2161_2196 mapMatch;19;T916_20150208_2161_2196 mapMatch19;;T386_20150212_1712_1767;mapMatch;00:01,4;00:04,6;322%;;;;;;;;;;;;;
T916_20150208_2241_2271;mapMatch;00:05,0;T916_20150208_2241_2271 mapMatch;19;T916_20150208_2241_2271 mapMatch19;;T386_20150212_1712_1767;mapMatch;0:00:28;00:20,1;72%;;;;;;;;;;;;;
T386_20150207_2302_2341;mapMatch;00:04,8;T386_20150207_2302_2341 mapMatch;20;T386_20150207_2302_2341 mapMatch20;;T386_20150212_1712_1767;mapMatch;00:04,1;00:04,0;98%;;;;;;;;;;;;;
T386_20150207_2793_2819;mapMatch;00:12,2;T386_20150207_2793_2819 mapMatch;20;T386_20150207_2793_2819 mapMatch20;;T386_20150212_1712_1767;mapMatch;00:05,6;00:04,0;71%;;;;;;;;;;;;;
T386_20150212_1389_1466;mapMatch;00:08,2;T386_20150212_1389_1466 mapMatch;20;T386_20150212_1389_1466 mapMatch20;;T386_20150212_1712_1767;mapMatch;00:07,8;00:23,9;308%;;;;;;;;;;;;;
T386_20150212_1712_1767;mapMatch;00:00,6;T386_20150212_1712_1767 mapMatch;20;T386_20150212_1712_1767 mapMatch20;;T386_20150212_1712_1767;mapMatch;00:10,4;00:06,3;60%;;;;;;;;;;;;;
T386_20150212_2640_2693;mapMatch;00:05,1;T386_20150212_2640_2693 mapMatch;20;T386_20150212_2640_2693 mapMatch20;;T386_20150212_1712_1767;mapMatch;00:26,8;00:17,7;66%;;;;;;;;;;;;;
T916_20150207_2161_2181;mapMatch;00:04,7;T916_20150207_2161_2181 mapMatch;20;T916_20150207_2161_2181 mapMatch20;;T386_20150212_1712_1767;mapMatch;00:28,8;00:21,5;75%;;;;;;;;;;;;;
T916_20150208_2161_2196;mapMatch;00:05,4;T916_20150208_2161_2196 mapMatch;20;T916_20150208_2161_2196 mapMatch20;;T386_20150212_1712_1767;mapMatch;00:29,0;00:14,1;49%;;;;;;;;;;;;;
T916_20150208_2241_2271;mapMatch;00:04,8;T916_20150208_2241_2271 mapMatch;20;T916_20150208_2241_2271 mapMatch20;;T386_20150212_1712_1767;mapMatch;00:28,3;00:18,9;67%;;;;;;;;;;;;;
T386_20150207_2302_2341;mapMatch;00:04,7;T386_20150207_2302_2341 mapMatch;21;T386_20150207_2302_2341 mapMatch21;;T386_20150212_1712_1767;mapMatch;00:00,5;00:00,6;109%;;;;;;;;;;;;;
T386_20150207_2793_2819;mapMatch;00:09,7;T386_20150207_2793_2819 mapMatch;21;T386_20150207_2793_2819 mapMatch21;;T386_20150212_1712_1767;mapMatch;00:00,5;00:00,6;107%;;;;;;;;;;;;;
T386_20150212_1389_1466;mapMatch;00:06,6;T386_20150212_1389_1466 mapMatch;21;T386_20150212_1389_1466 mapMatch21;;T386_20150212_1712_1767;mapMatch;00:08,1;00:25,6;316%;;;;;;;;;;;;;
T386_20150212_1712_1767;mapMatch;00:25,6;T386_20150212_1712_1767 mapMatch;21;T386_20150212_1712_1767 mapMatch21;;T386_20150212_1712_1767;mapMatch;00:01,5;00:19,3;1329%;;;;;;;;;;;;;
T386_20150212_2640_2693;mapMatch;00:06,8;T386_20150212_2640_2693 mapMatch;21;T386_20150212_2640_2693 mapMatch21;;T386_20150212_1712_1767;mapMatch;00:01,4;00:01,1;78%;;;;;;;;;;;;;
T916_20150208_2161_2196;mapMatch;00:05,3;T916_20150208_2161_2196 mapMatch;21;T916_20150208_2161_2196 mapMatch21;;T386_20150212_1712_1767;mapMatch;00:05,1;00:04,8;94%;;;;;;;;;;;;;
T916_20150208_2241_2271;mapMatch;00:05,3;T916_20150208_2241_2271 mapMatch;21;T916_20150208_2241_2271 mapMatch21;;T386_20150212_1712_1767;mapMatch;00:01,4;00:05,0;345%;;;;;;;;;;;;;
T386_20150207_2302_2341;mapMatch;00:05,1;T386_20150207_2302_2341 mapMatch;22;T386_20150207_2302_2341 mapMatch22;;T386_20150212_1712_1767;mapMatch;00:01,4;00:04,6;329%;;;;;;;;;;;;;
T386_20150207_2793_2819;mapMatch;00:00,6;T386_20150207_2793_2819 mapMatch;22;T386_20150207_2793_2819 mapMatch22;;T386_20150212_1712_1767;mapMatch;00:17,4;00:14,3;82%;;;;;;;;;;;;;
T386_20150212_1389_1466;mapMatch;00:07,9;T386_20150212_1389_1466 mapMatch;22;T386_20150212_1389_1466 mapMatch22;;T386_20150212_1712_1767;mapMatch;00:04,3;00:02,5;59%;;;;;;;;;;;;;
T386_20150212_1712_1767;mapMatch;00:19,3;T386_20150212_1712_1767 mapMatch;22;T386_20150212_1712_1767 mapMatch22;;T386_20150212_1712_1767;mapMatch;00:01,4;00:05,9;410%;;;;;;;;;;;;;
T386_20150212_2640_2693;mapMatch;00:05,0;T386_20150212_2640_2693 mapMatch;22;T386_20150212_2640_2693 mapMatch22;;T386_20150212_1712_1767;mapMatch;00:05,2;00:06,5;124%;;;;;;;;;;;;;
T916_20150208_2161_2196;mapMatch;00:06,8;T916_20150208_2161_2196 mapMatch;22;T916_20150208_2161_2196 mapMatch22;;T386_20150212_1712_1767;mapMatch;00:01,4;00:04,6;318%;;;;;;;;;;;;;
T916_20150208_2241_2271;mapMatch;00:06,6;T916_20150208_2241_2271 mapMatch;22;T916_20150208_2241_2271 mapMatch22;;T386_20150212_1712_1767;mapMatch;00:01,9;00:05,2;270%;;;;;;;;;;;;;
T386_20150207_2302_2341;mapMatch;00:05,3;T386_20150207_2302_2341 mapMatch;23;T386_20150207_2302_2341 mapMatch23;;T386_20150212_1712_1767;mapMatch;00:05,8;00:07,5;130%;;;;;;;;;;;;;
T386_20150207_2793_2819;mapMatch;00:04,8;T386_20150207_2793_2819 mapMatch;23;T386_20150207_2793_2819 mapMatch23;;T386_20150212_1712_1767;mapMatch;00:01,4;00:04,7;327%;;;;;;;;;;;;;
T386_20150212_1389_1466;mapMatch;00:08,1;T386_20150212_1389_1466 mapMatch;23;T386_20150212_1389_1466 mapMatch23;;T386_20150212_1712_1767;mapMatch;00:01,4;00:04,6;327%;;;;;;;;;;;;;
T386_20150212_1712_1767;mapMatch;00:01,1;T386_20150212_1712_1767 mapMatch;23;T386_20150212_1712_1767 mapMatch23;;T386_20150212_1712_1767;mapMatch;00:20,7;00:15,3;74%;;;;;;;;;;;;;
T386_20150212_2640_2693;mapMatch;00:05,1;T386_20150212_2640_2693 mapMatch;23;T386_20150212_2640_2693 mapMatch23;;T386_20150212_1712_1767;mapMatch;00:04,9;00:02,8;57%;;;;;;;;;;;;;
T916_20150208_2161_2196;mapMatch;00:05,7;T916_20150208_2161_2196 mapMatch;23;T916_20150208_2161_2196 mapMatch23;;T386_20150212_1712_1767;mapMatch;00:01,0;00:00,6;54%;;;;;;;;;;;;;
T916_20150208_2241_2271;mapMatch;00:04,7;T916_20150208_2241_2271 mapMatch;23;T916_20150208_2241_2271 mapMatch23;;T386_20150212_1712_1767;mapMatch;00:10,8;00:13,3;123%;;;;;;;;;;;;;
T386_20150207_2302_2341;mapMatch;00:13,3;T386_20150207_2302_2341 mapMatch;24;T386_20150207_2302_2341 mapMatch24;;T386_20150212_1712_1767;mapMatch;00:00,5;00:00,6;123%;;;;;;;;;;;;;
T386_20150207_2793_2819;mapMatch;00:04,8;T386_20150207_2793_2819 mapMatch;24;T386_20150207_2793_2819 mapMatch24;;T386_20150212_1712_1767;mapMatch;00:01,4;00:05,8;417%;;;;;;;;;;;;;
T386_20150212_1389_1466;mapMatch;00:05,1;T386_20150212_1389_1466 mapMatch;24;T386_20150212_1389_1466 mapMatch24;;T386_20150212_1712_1767;mapMatch;00:02,1;00:15,7;748%;;;;;;;;;;;;;
T386_20150212_1712_1767;mapMatch;00:04,8;T386_20150212_1712_1767 mapMatch;24;T386_20150212_1712_1767 mapMatch24;;T386_20150212_1712_1767;mapMatch;00:01,4;00:03,0;212%;;;;;;;;;;;;;
T386_20150212_2640_2693;mapMatch;00:13,5;T386_20150212_2640_2693 mapMatch;24;T386_20150212_2640_2693 mapMatch24;;T386_20150212_1712_1767;mapMatch;00:01,4;00:04,5;321%;;;;;;;;;;;;;
T916_20150208_2161_2196;mapMatch;00:20,7;T916_20150208_2161_2196 mapMatch;24;T916_20150208_2161_2196 mapMatch24;;T386_20150212_1712_1767;mapMatch;00:02,8;00:05,6;204%;;;;;;;;;;;;;
T916_20150208_2241_2271;mapMatch;00:04,6;T916_20150208_2241_2271 mapMatch;24;T916_20150208_2241_2271 mapMatch24;;T386_20150212_1712_1767;mapMatch;00:05,9;00:08,4;143%;;;;;;;;;;;;;
T386_20150207_2302_2341;mapMatch;00:02,5;T386_20150207_2302_2341 mapMatch;25;T386_20150207_2302_2341 mapMatch25;;T386_20150212_1712_1767;mapMatch;00:01,4;00:04,5;323%;;;;;;;;;;;;;
T386_20150207_2793_2819;mapMatch;00:05,0;T386_20150207_2793_2819 mapMatch;25;T386_20150207_2793_2819 mapMatch25;;T386_20150212_1712_1767;mapMatch;00:01,4;00:04,5;325%;;;;;;;;;;;;;
T386_20150212_1389_1466;mapMatch;00:04,7;T386_20150212_1389_1466 mapMatch;25;T386_20150212_1389_1466 mapMatch25;;T386_20150212_1712_1767;mapMatch;00:01,4;00:04,5;322%;;;;;;;;;;;;;
T386_20150212_1712_1767;mapMatch;00:05,0;T386_20150212_1712_1767 mapMatch;25;T386_20150212_1712_1767 mapMatch25;;T386_20150212_1712_1767;mapMatch;00:01,4;00:04,5;316%;;;;;;;;;;;;;
T386_20150212_2640_2693;mapMatch;00:12,2;T386_20150212_2640_2693 mapMatch;25;T386_20150212_2640_2693 mapMatch25;;T386_20150212_1712_1767;mapMatch;00:01,4;00:04,5;320%;;;;;;;;;;;;;
T916_20150208_2161_2196;mapMatch;00:11,3;T916_20150208_2161_2196 mapMatch;25;T916_20150208_2161_2196 mapMatch25;;T386_20150212_1712_1767;mapMatch;00:01,9;00:05,1;262%;;;;;;;;;;;;;
T916_20150208_2241_2271;mapMatch;00:04,6;T916_20150208_2241_2271 mapMatch;25;T916_20150208_2241_2271 mapMatch25;;T386_20150212_1712_1767;mapMatch;00:01,4;00:04,7;336%;;;;;;;;;;;;;
T386_20150207_2302_2341;mapMatch;00:06,8;T386_20150207_2302_2341 mapMatch;26;T386_20150207_2302_2341 mapMatch26;;T386_20150212_1712_1767;mapMatch;00:02,5;00:05,7;230%;;;;;;;;;;;;;
T386_20150207_2793_2819;mapMatch;00:04,9;T386_20150207_2793_2819 mapMatch;26;T386_20150207_2793_2819 mapMatch26;;T386_20150212_2640_2693;mapMatch;00:00,9;00:04,7;533%;;;;;;;;;;;;;
T386_20150212_1389_1466;mapMatch;00:05,3;T386_20150212_1389_1466 mapMatch;26;T386_20150212_1389_1466 mapMatch26;;T386_20150212_2640_2693;mapMatch;00:03,9;00:06,1;155%;;;;;;;;;;;;;
T386_20150212_1712_1767;mapMatch;00:04,6;T386_20150212_1712_1767 mapMatch;26;T386_20150212_1712_1767 mapMatch26;;T386_20150212_2640_2693;mapMatch;00:08,8;00:15,2;173%;;;;;;;;;;;;;
T386_20150212_2640_2693;mapMatch;00:02,5;T386_20150212_2640_2693 mapMatch;26;T386_20150212_2640_2693 mapMatch26;;T386_20150212_2640_2693;mapMatch;00:03,8;00:03,4;91%;;;;;;;;;;;;;
T916_20150208_2161_2196;mapMatch;00:00,6;T916_20150208_2161_2196 mapMatch;26;T916_20150208_2161_2196 mapMatch26;;T386_20150212_2640_2693;mapMatch;00:01,4;00:05,2;361%;;;;;;;;;;;;;
T916_20150208_2241_2271;mapMatch;00:04,5;T916_20150208_2241_2271 mapMatch;26;T916_20150208_2241_2271 mapMatch26;;T386_20150212_2640_2693;mapMatch;00:04,1;00:07,6;186%;;;;;;;;;;;;;
T386_20150207_2302_2341;mapMatch;00:07,1;T386_20150207_2302_2341 mapMatch;27;T386_20150207_2302_2341 mapMatch27;;T386_20150212_2640_2693;mapMatch;00:01,4;00:04,6;326%;;;;;;;;;;;;;
T386_20150212_1389_1466;mapMatch;00:04,6;T386_20150212_1389_1466 mapMatch;27;T386_20150212_1389_1466 mapMatch27;;T386_20150212_2640_2693;mapMatch;00:05,4;00:12,1;222%;;;;;;;;;;;;;
T386_20150212_1712_1767;mapMatch;00:14,3;T386_20150212_1712_1767 mapMatch;27;T386_20150212_1712_1767 mapMatch27;;T386_20150212_2640_2693;mapMatch;00:02,2;00:02,3;105%;;;;;;;;;;;;;
T386_20150212_2640_2693;mapMatch;00:12,5;T386_20150212_2640_2693 mapMatch;27;T386_20150212_2640_2693 mapMatch27;;T386_20150212_2640_2693;mapMatch;00:01,5;00:04,7;323%;;;;;;;;;;;;;
T916_20150208_2161_2196;mapMatch;00:05,1;T916_20150208_2161_2196 mapMatch;27;T916_20150208_2161_2196 mapMatch27;;T386_20150212_2640_2693;mapMatch;00:08,7;00:13,5;157%;;;;;;;;;;;;;
T916_20150208_2241_2271;mapMatch;00:06,3;T916_20150208_2241_2271 mapMatch;27;T916_20150208_2241_2271 mapMatch27;;T386_20150212_2640_2693;mapMatch;00:05,3;00:02,4;46%;;;;;;;;;;;;;
T386_20150207_2302_2341;mapMatch;00:04,7;T386_20150207_2302_2341 mapMatch;28;T386_20150207_2302_2341 mapMatch28;;T386_20150212_2640_2693;mapMatch;00:15,8;00:14,4;91%;;;;;;;;;;;;;
T386_20150212_1389_1466;mapMatch;00:04,8;T386_20150212_1389_1466 mapMatch;28;T386_20150212_1389_1466 mapMatch28;;T386_20150212_2640_2693;mapMatch;00:00,5;00:00,6;107%;;;;;;;;;;;;;
T386_20150212_1712_1767;mapMatch;00:02,5;T386_20150212_1712_1767 mapMatch;28;T386_20150212_1712_1767 mapMatch28;;T386_20150212_2640_2693;mapMatch;00:01,4;00:05,9;411%;;;;;;;;;;;;;
T386_20150212_2640_2693;mapMatch;00:02,4;T386_20150212_2640_2693 mapMatch;28;T386_20150212_2640_2693 mapMatch28;;T386_20150212_2640_2693;mapMatch;00:01,4;00:05,8;409%;;;;;;;;;;;;;
T916_20150208_2161_2196;mapMatch;00:08,7;T916_20150208_2161_2196 mapMatch;28;T916_20150208_2161_2196 mapMatch28;;T386_20150212_2640_2693;mapMatch;00:01,4;00:05,6;395%;;;;;;;;;;;;;
T916_20150208_2241_2271;mapMatch;00:13,5;T916_20150208_2241_2271 mapMatch;28;T916_20150208_2241_2271 mapMatch28;;T386_20150212_2640_2693;mapMatch;00:01,9;00:15,6;801%;;;;;;;;;;;;;
T386_20150207_2302_2341;mapMatch;00:05,1;T386_20150207_2302_2341 mapMatch;29;T386_20150207_2302_2341 mapMatch29;;T386_20150212_2640_2693;mapMatch;00:01,4;00:00,9;65%;;;;;;;;;;;;;
T386_20150212_1389_1466;mapMatch;00:05,2;T386_20150212_1389_1466 mapMatch;29;T386_20150212_1389_1466 mapMatch29;;T386_20150212_2640_2693;mapMatch;00:01,5;00:05,1;353%;;;;;;;;;;;;;
T386_20150212_1712_1767;mapMatch;00:05,9;T386_20150212_1712_1767 mapMatch;29;T386_20150212_1712_1767 mapMatch29;;T386_20150212_2640_2693;mapMatch;00:03,0;00:06,8;225%;;;;;;;;;;;;;
T386_20150212_2640_2693;mapMatch;00:16,3;T386_20150212_2640_2693 mapMatch;29;T386_20150212_2640_2693 mapMatch29;;T386_20150212_2640_2693;mapMatch;00:01,4;00:05,0;355%;;;;;;;;;;;;;
T916_20150208_2161_2196;mapMatch;00:05,9;T916_20150208_2161_2196 mapMatch;29;T916_20150208_2161_2196 mapMatch29;;T386_20150212_2640_2693;mapMatch;00:01,4;00:05,1;359%;;;;;;;;;;;;;
T916_20150208_2241_2271;mapMatch;00:00,5;T916_20150208_2241_2271 mapMatch;29;T916_20150208_2241_2271 mapMatch29;;T386_20150212_2640_2693;mapMatch;00:10,7;00:13,5;126%;;;;;;;;;;;;;
T386_20150207_2302_2341;mapMatch;00:05,3;T386_20150207_2302_2341 mapMatch;30;T386_20150207_2302_2341 mapMatch30;;T386_20150212_2640_2693;mapMatch;00:16,0;00:12,2;76%;;;;;;;;;;;;;
T386_20150212_1389_1466;mapMatch;00:15,4;T386_20150212_1389_1466 mapMatch;30;T386_20150212_1389_1466 mapMatch30;;T386_20150212_2640_2693;mapMatch;00:04,4;00:02,5;55%;;;;;;;;;;;;;
T386_20150212_1712_1767;mapMatch;00:06,5;T386_20150212_1712_1767 mapMatch;30;T386_20150212_1712_1767 mapMatch30;;T386_20150212_2640_2693;mapMatch;00:02,0;00:12,5;634%;;;;;;;;;;;;;
T386_20150212_2640_2693;mapMatch;00:16,3;T386_20150212_2640_2693 mapMatch;30;T386_20150212_2640_2693 mapMatch30;;T386_20150212_2640_2693;mapMatch;00:02,1;00:02,4;110%;;;;;;;;;;;;;
T916_20150208_2161_2196;mapMatch;00:05,2;T916_20150208_2161_2196 mapMatch;30;T916_20150208_2161_2196 mapMatch30;;T386_20150212_2640_2693;mapMatch;00:23,6;00:16,3;69%;;;;;;;;;;;;;
T916_20150208_2241_2271;mapMatch;00:04,6;T916_20150208_2241_2271 mapMatch;30;T916_20150208_2241_2271 mapMatch30;;T386_20150212_2640_2693;mapMatch;00:26,3;00:16,3;62%;;;;;;;;;;;;;
T386_20150207_2302_2341;mapMatch;00:05,4;T386_20150207_2302_2341 mapMatch;31;T386_20150207_2302_2341 mapMatch31;;T386_20150212_2640_2693;mapMatch;00:00,5;00:00,6;109%;;;;;;;;;;;;;
T386_20150212_1389_1466;mapMatch;00:12,5;T386_20150212_1389_1466 mapMatch;31;T386_20150212_1389_1466 mapMatch31;;T386_20150212_2640_2693;mapMatch;00:00,5;00:00,5;99%;;;;;;;;;;;;;
T386_20150212_1712_1767;mapMatch;00:04,6;T386_20150212_1712_1767 mapMatch;31;T386_20150212_1712_1767 mapMatch31;;T386_20150212_2640_2693;mapMatch;00:01,6;00:04,6;284%;;;;;;;;;;;;;
T386_20150212_2640_2693;mapMatch;00:00,6;T386_20150212_2640_2693 mapMatch;31;T386_20150212_2640_2693 mapMatch31;;T386_20150212_2640_2693;mapMatch;00:01,9;00:04,9;254%;;;;;;;;;;;;;
T916_20150208_2161_2196;mapMatch;00:12,6;T916_20150208_2161_2196 mapMatch;31;T916_20150208_2161_2196 mapMatch31;;T386_20150212_2640_2693;mapMatch;00:01,8;00:04,6;258%;;;;;;;;;;;;;
T386_20150207_2302_2341;mapMatch;00:07,2;T386_20150207_2302_2341 mapMatch;32;T386_20150207_2302_2341 mapMatch32;;T386_20150212_2640_2693;mapMatch;00:07,1;00:16,7;233%;;;;;;;;;;;;;
T386_20150212_1389_1466;mapMatch;00:16,1;T386_20150212_1389_1466 mapMatch;32;T386_20150212_1389_1466 mapMatch32;;T386_20150212_2640_2693;mapMatch;00:00,6;00:00,6;94%;;;;;;;;;;;;;
T386_20150212_1712_1767;mapMatch;00:05,2;T386_20150212_1712_1767 mapMatch;32;T386_20150212_1712_1767 mapMatch32;;T386_20150212_2640_2693;mapMatch;00:01,5;00:05,0;336%;;;;;;;;;;;;;
T386_20150212_2640_2693;mapMatch;00:00,5;T386_20150212_2640_2693 mapMatch;32;T386_20150212_2640_2693 mapMatch32;;T386_20150212_2640_2693;mapMatch;00:01,4;00:15,0;1054%;;;;;;;;;;;;;
T386_20150207_2302_2341;mapMatch;00:05,0;T386_20150207_2302_2341 mapMatch;33;T386_20150207_2302_2341 mapMatch33;;T386_20150212_2640_2693;mapMatch;00:01,4;00:00,6;40%;;;;;;;;;;;;;
T386_20150212_1389_1466;mapMatch;00:00,7;T386_20150212_1389_1466 mapMatch;33;T386_20150212_1389_1466 mapMatch33;;T386_20150212_2640_2693;mapMatch;00:03,3;00:07,0;208%;;;;;;;;;;;;;
T386_20150212_1712_1767;mapMatch;00:07,5;T386_20150212_1712_1767 mapMatch;33;T386_20150212_1712_1767 mapMatch33;;T386_20150212_2640_2693;mapMatch;00:05,5;00:08,4;153%;;;;;;;;;;;;;
T386_20150212_2640_2693;mapMatch;00:04,6;T386_20150212_2640_2693 mapMatch;33;T386_20150212_2640_2693 mapMatch33;;T386_20150212_2640_2693;mapMatch;00:01,4;00:05,7;391%;;;;;;;;;;;;;
T386_20150207_2302_2341;mapMatch;00:05,1;T386_20150207_2302_2341 mapMatch;34;T386_20150207_2302_2341 mapMatch34;;T386_20150212_2640_2693;mapMatch;00:24,2;00:25,9;107%;;;;;;;;;;;;;
T386_20150212_1389_1466;mapMatch;00:00,7;T386_20150212_1389_1466 mapMatch;34;T386_20150212_1389_1466 mapMatch34;;T386_20150212_2640_2693;mapMatch;00:20,9;00:03,5;17%;;;;;;;;;;;;;
T386_20150212_1712_1767;mapMatch;00:04,7;T386_20150212_1712_1767 mapMatch;34;T386_20150212_1712_1767 mapMatch34;;T386_20150212_2640_2693;mapMatch;00:17,0;00:14,2;84%;;;;;;;;;;;;;
