serie;funcion;tiempo;serie;;;;serie;funcion;tiempo O;tiempoOpt;;;;;;;;;;;;;;
T386_20150212_1712_1767;mapMatch;00:06,7;T386_20150212_1712_1767 mapMatch;4;T386_20150212_1712_1767 mapMatch4;;T386_20150207_2302_2341;mapMatch;00:01,5;00:04,7;316%;;;;;;;;;;;;;
T386_20150212_2640_2693;mapMatch;00:03,4;T386_20150212_2640_2693 mapMatch;4;T386_20150212_2640_2693 mapMatch4;;T386_20150207_2302_2341;mapMatch;00:01,5;00:05,1;344%;;;;;;;;;;;;;
T916_20150207_2161_2181;mapMatch;00:20,8;T916_20150207_2161_2181 mapMatch;4;T916_20150207_2161_2181 mapMatch4;;T386_20150207_2302_2341;mapMatch;00:01,4;00:05,3;376%;;;;;;;;;;;;;
T916_20150208_2161_2196;mapMatch;00:04,7;T916_20150208_2161_2196 mapMatch;4;T916_20150208_2161_2196 mapMatch4;;T386_20150207_2302_2341;mapMatch;00:01,4;00:05,4;383%;;;;;;;;;;;;;
T916_20150208_2241_2271;mapMatch;00:02,5;T916_20150208_2241_2271 mapMatch;4;T916_20150208_2241_2271 mapMatch4;;T386_20150207_2302_2341;mapMatch;00:01,9;00:07,2;371%;;;;;;;;;;;;;
T386_20150207_2302_2341;mapMatch;00:06,1;T386_20150207_2302_2341 mapMatch;5;T386_20150207_2302_2341 mapMatch5;;T386_20150207_2302_2341;mapMatch;00:01,4;00:05,0;350%;;;;;;;;;;;;;
T386_20150207_2793_2819;mapMatch;00:00,6;T386_20150207_2793_2819 mapMatch;5;T386_20150207_2793_2819 mapMatch5;;T386_20150207_2302_2341;mapMatch;00:01,4;00:05,1;363%;;;;;;;;;;;;;
T386_20150212_1389_1466;mapMatch;00:04,9;T386_20150212_1389_1466 mapMatch;5;T386_20150212_1389_1466 mapMatch5;;T386_20150207_2302_2341;mapMatch;00:03,1;00:06,8;224%;;;;;;;;;;;;;
T386_20150212_1712_1767;mapMatch;00:05,0;T386_20150212_1712_1767 mapMatch;5;T386_20150212_1712_1767 mapMatch5;;T386_20150207_2302_2341;mapMatch;00:01,4;00:05,2;360%;;;;;;;;;;;;;
T386_20150212_2640_2693;mapMatch;00:05,2;T386_20150212_2640_2693 mapMatch;5;T386_20150212_2640_2693 mapMatch5;;T386_20150207_2302_2341;mapMatch;00:10,8;00:14,6;135%;;;;;;;;;;;;;
T916_20150207_2161_2181;mapMatch;00:03,6;T916_20150207_2161_2181 mapMatch;5;T916_20150207_2161_2181 mapMatch5;;T386_20150207_2302_2341;mapMatch;00:00,5;00:00,6;116%;;;;;;;;;;;;;
T916_20150208_2161_2196;mapMatch;00:04,7;T916_20150208_2161_2196 mapMatch;5;T916_20150208_2161_2196 mapMatch5;;T386_20150207_2302_2341;mapMatch;00:10,4;00:05,5;53%;;;;;;;;;;;;;
T916_20150208_2241_2271;mapMatch;00:02,3;T916_20150208_2241_2271 mapMatch;5;T916_20150208_2241_2271 mapMatch5;;T386_20150207_2793_2819;mapMatch;00:02,5;00:05,0;197%;;;;;;;;;;;;;
T386_20150207_2302_2341;mapMatch;00:05,3;T386_20150207_2302_2341 mapMatch;6;T386_20150207_2302_2341 mapMatch6;;T386_20150207_2793_2819;mapMatch;00:09,1;00:12,5;137%;;;;;;;;;;;;;
T386_20150207_2793_2819;mapMatch;00:06,6;T386_20150207_2793_2819 mapMatch;6;T386_20150207_2793_2819 mapMatch6;;T386_20150207_2793_2819;mapMatch;00:25,3;00:19,8;78%;;;;;;;;;;;;;
T386_20150212_1389_1466;mapMatch;00:07,0;T386_20150212_1389_1466 mapMatch;6;T386_20150212_1389_1466 mapMatch6;;T386_20150207_2793_2819;mapMatch;00:00,6;00:00,6;101%;;;;;;;;;;;;;
T386_20150212_1712_1767;mapMatch;00:06,3;T386_20150212_1712_1767 mapMatch;6;T386_20150212_1712_1767 mapMatch6;;T386_20150207_2793_2819;mapMatch;00:00,6;00:00,6;108%;;;;;;;;;;;;;
T386_20150212_2640_2693;mapMatch;00:07,6;T386_20150212_2640_2693 mapMatch;6;T386_20150212_2640_2693 mapMatch6;;T386_20150207_2793_2819;mapMatch;00:09,8;00:06,6;68%;;;;;;;;;;;;;
T916_20150207_2161_2181;mapMatch;00:00,6;T916_20150207_2161_2181 mapMatch;6;T916_20150207_2161_2181 mapMatch6;;T386_20150207_2793_2819;mapMatch;00:09,4;00:07,2;76%;;;;;;;;;;;;;
T916_20150208_2161_2196;mapMatch;00:13,7;T916_20150208_2161_2196 mapMatch;6;T916_20150208_2161_2196 mapMatch6;;T386_20150207_2793_2819;mapMatch;00:03,5;00:13,8;390%;;;;;;;;;;;;;
T916_20150208_2241_2271;mapMatch;00:05,4;T916_20150208_2241_2271 mapMatch;6;T916_20150208_2241_2271 mapMatch6;;T386_20150207_2793_2819;mapMatch;00:01,4;00:02,4;173%;;;;;;;;;;;;;
T386_20150207_2302_2341;mapMatch;00:06,1;T386_20150207_2302_2341 mapMatch;7;T386_20150207_2302_2341 mapMatch7;;T386_20150207_2793_2819;mapMatch;00:33,7;00:22,2;66%;;;;;;;;;;;;;
T386_20150207_2793_2819;mapMatch;00:07,2;T386_20150207_2793_2819 mapMatch;7;T386_20150207_2793_2819 mapMatch7;;T386_20150207_2793_2819;mapMatch;00:08,1;00:04,4;54%;;;;;;;;;;;;;
T386_20150212_1389_1466;mapMatch;00:08,4;T386_20150212_1389_1466 mapMatch;7;T386_20150212_1389_1466 mapMatch7;;T386_20150207_2793_2819;mapMatch;00:07,0;00:09,4;134%;;;;;;;;;;;;;
T386_20150212_1712_1767;mapMatch;00:14,6;T386_20150212_1712_1767 mapMatch;7;T386_20150212_1712_1767 mapMatch7;;T386_20150207_2793_2819;mapMatch;00:00,6;00:00,6;105%;;;;;;;;;;;;;
T386_20150212_2640_2693;mapMatch;00:04,6;T386_20150212_2640_2693 mapMatch;7;T386_20150212_2640_2693 mapMatch7;;T386_20150207_2793_2819;mapMatch;00:01,5;00:05,0;334%;;;;;;;;;;;;;
T916_20150207_2161_2181;mapMatch;00:14,8;T916_20150207_2161_2181 mapMatch;7;T916_20150207_2161_2181 mapMatch7;;T386_20150207_2793_2819;mapMatch;00:01,5;00:05,2;351%;;;;;;;;;;;;;
T916_20150208_2161_2196;mapMatch;00:01,0;T916_20150208_2161_2196 mapMatch;7;T916_20150208_2161_2196 mapMatch7;;T386_20150207_2793_2819;mapMatch;00:01,5;00:05,3;353%;;;;;;;;;;;;;
T916_20150208_2241_2271;mapMatch;00:05,5;T916_20150208_2241_2271 mapMatch;7;T916_20150208_2241_2271 mapMatch7;;T386_20150207_2793_2819;mapMatch;00:10,4;00:17,0;163%;;;;;;;;;;;;;
T386_20150207_2302_2341;mapMatch;00:07,0;T386_20150207_2302_2341 mapMatch;8;T386_20150207_2302_2341 mapMatch8;;T386_20150207_2793_2819;mapMatch;00:08,2;00:08,8;108%;;;;;;;;;;;;;
T386_20150207_2793_2819;mapMatch;00:13,8;T386_20150207_2793_2819 mapMatch;8;T386_20150207_2793_2819 mapMatch8;;T386_20150207_2793_2819;mapMatch;00:00,7;00:00,6;83%;;;;;;;;;;;;;
T386_20150212_1389_1466;mapMatch;00:04,6;T386_20150212_1389_1466 mapMatch;8;T386_20150212_1389_1466 mapMatch8;;T386_20150207_2793_2819;mapMatch;00:09,5;00:12,2;129%;;;;;;;;;;;;;
T386_20150212_1712_1767;mapMatch;00:03,5;T386_20150212_1712_1767 mapMatch;8;T386_20150212_1712_1767 mapMatch8;;T386_20150207_2793_2819;mapMatch;00:12,8;00:09,7;75%;;;;;;;;;;;;;
T386_20150212_2640_2693;mapMatch;00:12,1;T386_20150212_2640_2693 mapMatch;8;T386_20150212_2640_2693 mapMatch8;;T386_20150207_2793_2819;mapMatch;00:00,5;00:00,6;104%;;;;;;;;;;;;;
T916_20150207_2161_2181;mapMatch;00:20,1;T916_20150207_2161_2181 mapMatch;8;T916_20150207_2161_2181 mapMatch8;;T386_20150207_2793_2819;mapMatch;00:01,4;00:04,8;339%;;;;;;;;;;;;;
